theta,V_unperturbed,V_perturbed_dvnet_poly
2.374795203176427,6.8619576,8.851458
2.38737415274035,6.969132,8.998746
2.399953102304273,7.0748816,9.145764
2.412532051868196,7.179175,9.292431
2.425111001432119,7.281983,9.438655
2.437689950996042,7.3832784,9.584336
2.450268900559966,7.483035,9.729369
2.462847850123889,7.5812283,9.873646
2.475426799687812,7.677834,10.017053
2.488005749251735,7.7728333,10.159485
2.500584698815658,7.866204,10.300833
2.513163648379581,7.95793,10.441
2.525742597943504,8.047992,10.57989
2.5383215475074272,8.136376,10.717419
2.5509004970713502,8.223067,10.853505
2.5634794466352733,8.308054,10.988083
2.5760583961991963,8.391324,11.121089
2.5886373457631193,8.472865,11.252466
2.6012162953270423,8.5526705,11.382172
2.6137952448909663,8.63073,11.510162
2.6263741944548893,8.707036,11.636406
2.6389531440188123,8.781583,11.760872
2.6515320935827353,8.854364,11.883541
2.6641110431466584,8.925376,12.004395
2.6766899927105814,8.994612,12.123425
2.6892689422745044,9.062067,12.240625
2.7018478918384274,9.127742,12.356007
2.7144268414023505,9.19163,12.469582
2.7270057909662735,9.253728,12.581374
2.7395847405301965,9.314034,12.69143
2.7521636900941195,9.372546,12.799803
2.7647426396580426,9.429261,12.90657
2.7773215892219665,9.484178,13.011831
2.7899005387858895,9.537292,13.115709
2.8024794883498125,9.588599,13.218355
2.8150584379137356,9.638103,13.319962
2.8276373874776586,9.685795,13.420749
2.8402163370415816,9.731674,13.520975
2.8527952866055046,9.775739,13.620942
2.8653742361694277,9.817983,13.720979
2.8779531857333507,9.858405,13.821451
2.8905321352972737,9.896999,13.922732
2.9031110848611967,9.933764,14.0252
2.9156900344251198,9.968696,14.12919
2.9282689839890437,10.00179,14.234974
2.9408479335529667,10.033041,14.342684
2.9534268831168897,10.062446,14.452272
2.9660058326808127,10.089999,14.563433
2.9785847822447358,10.115699,14.67553
2.991163731808659,10.139541,14.787544
3.003742681372582,10.161517,14.8980255
3.016321630936505,10.181628,15.005116
3.028900580500428,10.199865,15.106575
3.041479530064351,10.216229,15.199888
3.054058479628274,10.230714,15.282398
3.066637429192197,10.243316,15.351471
3.07921637875612,10.254032,15.404663
3.091795328320044,10.262858,15.43989
3.104374277883967,10.26979,15.455551
3.11695322744789,10.274828,15.450657
3.129532177011813,10.277966,15.424875
3.142111126575736,10.279202,15.378605
3.154690076139659,10.278533,15.312957
3.167269025703582,10.275958,15.229719
3.179847975267505,10.271472,15.131233
3.192426924831428,10.265073,15.020241
3.205005874395351,10.256758,14.899662
3.217584823959274,10.246527,14.772371
3.230163773523197,10.234374,14.641005
3.24274272308712,10.220299,14.507803
3.255321672651044,10.204297,14.374546
3.267900622214967,10.186368,14.242533
3.28047957177889,10.166507,14.112621
3.293058521342813,10.144712,13.985299
3.305637470906736,10.12098,13.860756
3.3182164204706592,10.09531,13.738969
3.3307953700345823,10.067698,13.619759
3.3433743195985053,10.038139,13.5028515
3.3559532691624283,10.006633,13.387917
3.3685322187263513,9.973176,13.274599
3.3811111682902744,9.937766,13.162534
3.3936901178541974,9.900401,13.051366
3.4062690674181204,9.861079,12.940756
3.4188480169820443,9.819797,12.830383
3.4314269665459673,9.776553,12.719956
3.4440059161098904,9.731349,12.609202
3.4565848656738134,9.68418,12.497873
3.4691638152377364,9.635051,12.385747
3.4817427648016595,9.583959,12.272619
3.4943217143655825,9.530907,12.158307
3.5069006639295055,9.475898,12.042645
3.5194796134934285,9.418934,11.925483
3.5320585630573516,9.360021,11.806685
3.5446375126212746,9.299163,11.68613
3.5572164621851976,9.236369,11.5637045
3.5697954117491215,9.171648,11.439308
3.5823743613130445,9.105009,11.312844
3.5949533108769676,9.036464,11.184229
3.6075322604408906,8.966026,11.053379
3.6201112100048136,8.893711,10.920222
3.6326901595687366,8.819536,10.784693
3.6452691091326597,8.743519,10.646729
3.6578480586965827,8.665683,10.506286
3.6704270082605057,8.586049,10.363321
3.6830059578244287,8.504642,10.217813
3.6955849073883518,8.421491,10.0697565
3.708163856952275,8.336621,9.919165
3.720742806516198,8.250064,9.766079
3.7333217560801217,8.161853,9.61057
3.7459007056440448,8.07202,9.452739
3.758479655207968,7.980601,9.292721
3.771058604771891,7.887631,9.130678
3.783637554335814,7.7931485,8.966808
3.796216503899737,7.697193,8.801332
3.80879545346366,7.5998006,8.634481
3.821374403027583,7.5010114,8.466503
3.833953352591506,7.400864,8.297648
3.846532302155429,7.2994003,8.128164
3.859111251719352,7.1966577,7.958288
3.871690201283275,7.0926743,7.7882485
3.884269150847198,6.987491,7.618267
3.896848100411122,6.881142,7.4485507
3.909427049975045,6.773667,7.279303
3.922005999538968,6.6650977,7.1107187
3.93458494910289,6.555471,6.942989
3.947163898666814,6.444819,6.7762933
3.959742848230736,6.3331723,6.6108003
3.97232179779466,6.2205625,6.4466624
3.984900747358584,6.107017,6.284005
