theta,V_unperturbed,V_perturbed_dvnet_sin
1.8967951197473494,2.12591,3.1575174
1.9093740693112724,2.258497,3.3489637
1.9219530188751954,2.3909552,3.5382571
1.9345319684391185,2.5232744,3.7252269
1.9471109180030415,2.6554403,3.9096837
1.9596898675669654,2.7874393,4.0913997
1.9722688171308884,2.9192567,4.2700834
1.9848477666948114,3.0508745,4.4453564
1.9974267162587345,3.1822755,4.6167474
2.0100056658226575,3.313439,4.783676
2.0225846153865805,3.4443417,4.9454627
2.0351635649505035,3.5749614,5.1013336
2.0477425145144266,3.705271,5.250442
2.0603214640783496,3.8352432,5.391897
2.0729004136422726,3.964848,5.524806
2.0854793632061956,4.094053,5.6483216
2.0980583127701187,4.2228246,5.7617073
2.1106372623340417,4.3511267,5.864396
2.1232162118979656,4.4789224,5.9560575
2.1357951614618886,4.606171,6.0366483
2.1483741110258117,4.7328334,6.106456
2.1609530605897347,4.858866,6.1661024
2.1735320101536577,4.9842267,6.216529
2.1861109597175807,5.108871,6.2589397
2.1986899092815038,5.2327533,6.294725
2.211268858845427,5.3558292,6.3253646
2.22384780840935,5.4780517,6.352332
2.236426757973273,5.5993752,6.377015
2.249005707537196,5.7197537,6.4006515
2.261584657101119,5.8391423,6.424303
2.274163606665042,5.957496,6.4488463
2.286742556228966,6.07477,6.474989
2.299321505792889,6.1909204,6.5032935
2.311900455356812,6.305907,6.5342073
2.324479404920735,6.4196863,6.5680757
2.337058354484658,6.5322185,6.605155
2.349637304048581,6.643466,6.6456156
2.362216253612504,6.7533913,6.68953
2.374795203176427,6.8619576,6.736862
2.38737415274035,6.969132,6.7874665
2.399953102304273,7.0748816,6.8410826
2.412532051868196,7.179175,6.8973527
2.425111001432119,7.281983,6.9558487
2.437689950996042,7.3832784,7.016116
2.450268900559966,7.483035,7.0777197
2.462847850123889,7.5812283,7.1403055
2.475426799687812,7.677834,7.203648
2.488005749251735,7.7728333,7.267693
2.500584698815658,7.866204,7.3325686
2.513163648379581,7.95793,7.398585
2.525742597943504,8.047992,7.466183
2.5383215475074272,8.136376,7.53589
2.5509004970713502,8.223067,7.6082325
2.5634794466352733,8.308054,7.6836743
2.5760583961991963,8.391324,7.762554
2.5886373457631193,8.472865,7.845047
2.6012162953270423,8.5526705,7.9311585
2.6137952448909663,8.63073,8.02073
2.6263741944548893,8.707036,8.113468
2.6389531440188123,8.781583,8.208982
2.6515320935827353,8.854364,8.306824
2.6641110431466584,8.925376,8.40652
2.6766899927105814,8.994612,8.507601
2.6892689422745044,9.062067,8.609624
2.7018478918384274,9.127742,8.712192
2.7144268414023505,9.19163,8.81494
2.7270057909662735,9.253728,8.917544
2.7395847405301965,9.314034,9.019713
2.7521636900941195,9.372546,9.121165
2.7647426396580426,9.429261,9.221619
2.7773215892219665,9.484178,9.32077
2.7899005387858895,9.537292,9.418279
2.8024794883498125,9.588599,9.513757
2.8150584379137356,9.638103,9.606774
2.8276373874776586,9.685795,9.696853
2.8402163370415816,9.731674,9.78349
2.8527952866055046,9.775739,9.86619
2.8653742361694277,9.817983,9.944481
2.8779531857333507,9.858405,10.017958
2.8905321352972737,9.896999,10.086297
2.9031110848611967,9.933764,10.1492815
2.9156900344251198,9.968696,10.2067995
2.9282689839890437,10.00179,10.258845
2.9408479335529667,10.033041,10.305501
2.9534268831168897,10.062446,10.346931
2.9660058326808127,10.089999,10.383354
2.9785847822447358,10.115699,10.415029
2.991163731808659,10.139541,10.442237
3.003742681372582,10.161517,10.465265
3.016321630936505,10.181628,10.484404
3.028900580500428,10.199865,10.499927
3.041479530064351,10.216229,10.512099
3.054058479628274,10.230714,10.521161
3.066637429192197,10.243316,10.527335
3.07921637875612,10.254032,10.530821
3.091795328320044,10.262858,10.5317955
