theta,delta_V_learned,delta_V_true
-2.013191112740465,-5.4561553,-4.669172919966647
-2.000599559018662,-5.4668794,-4.692926740295496
-1.9880080052968596,-5.4770336,-4.716236258075665
-1.9754164515750565,-5.486661,-4.739107048452977
-1.9628248978532543,-5.4958,-4.761544651373122
-1.9502333441314512,-5.5044856,-4.783554571581669
-1.9376417904096481,-5.51275,-4.805142278624052
-1.925050236687845,-5.5206227,-4.82631320684558
-1.9124586829660428,-5.5281305,-4.847072755391434
-1.8998671292442406,-5.535298,-4.8674262882066675
-1.8872755755224375,-5.542148,-4.887379134036208
-1.8746840218006344,-5.5487022,-4.906936586424853
-1.8620924680788313,-5.554979,-4.92610390371727
-1.8495009143570291,-5.560997,-4.944886309058003
-1.836909360635226,-5.5667725,-4.963288990391465
-1.8243178069134238,-5.572321,-4.9813171004619425
-1.8117262531916207,-5.5776567,-4.998975756813595
-1.7991346994698176,-5.582794,-5.016270041790452
-1.7865431457480145,-5.587744,-5.033205002536418
-1.7739515920262123,-5.59252,-5.049785650995265
-1.7613600383044101,-5.5971317,-5.0660169639106405
-1.748768484582607,-5.60159,-5.081903882826067
-1.736176930860804,-5.605905,-5.097451314084933
-1.7235853771390008,-5.6100845,-5.112664128830502
-1.7109938234171977,-5.614138,-5.127547163005912
-1.6984022696953955,-5.6180735,-5.142105217354167
-1.6858107159735933,-5.621898,-5.156343057418148
-1.6732191622517902,-5.62562,-5.17026541354061
-1.6606276085299871,-5.629245,-5.183876980864176
-1.648036054808184,-5.6327806,-5.197182419331341
-1.6354445010863818,-5.6362324,-5.210186353684474
-1.6228529473645787,-5.639606,-5.222893373465816
-1.6102613936427765,-5.642908,-5.235308033017479
-1.5976698399209734,-5.646143,-5.24743485148145
-1.5850782861991703,-5.649317,-5.259278312799585
-1.5724867324773673,-5.652434,-5.270842865713613
-1.559895178755565,-5.655499,-5.282132923765134
-1.5473036250337628,-5.6585174,-5.293152865295625
-1.5347120713119597,-5.6614923,-5.303907033446429
-1.5221205175901567,-5.6644297,-5.314399736158766
-1.5095289638683536,-5.667332,-5.324635246173724
-1.4969374101465514,-5.670204,-5.334617801032265
-1.4843458564247483,-5.673051,-5.344351603075226
-1.471754302702946,-5.6758747,-5.3538408194433105
-1.459162748981143,-5.6786795,-5.363089582077099
-1.4465711952593399,-5.681469,-5.372101987717042
-1.4339796415375368,-5.6842465,-5.380882097903462
-1.4213880878157354,-5.6870155,-5.389433938976553
-1.4087965340939324,-5.6897798,-5.397761502076385
-1.3962049803721293,-5.6925416,-5.405868743142895
-1.3836134266503262,-5.6953044,-5.413759582915896
-1.371021872928523,-5.698071,-5.42143790693507
-1.35843031920672,-5.700844,-5.4289075655399746
-1.3458387654849169,-5.703625,-5.436172373870037
-1.3332472117631156,-5.706418,-5.443236111864556
-1.3206556580413125,-5.709224,-5.4501025242627055
-1.3080641043195094,-5.712045,-5.45677532060353
-1.2954725505977063,-5.7148833,-5.4632581752259455
-1.2828809968759032,-5.717739,-5.469554727268741
-1.2702894431541019,-5.720614,-5.475668580670576
-1.2576978894322988,-5.723509,-5.481603304169986
-1.2451063357104957,-5.7264233,-5.487362431305374
-1.2325147819886926,-5.7293572,-5.492949460415018
-1.2199232282668895,-5.732311,-5.498367854637068
-1.2073316745450882,-5.735282,-5.503621041909544
-1.194740120823285,-5.7382693,-5.508712414970343
-1.182148567101482,-5.7412705,-5.513645331357227
-1.1695570133796789,-5.7442827,-5.518423113407836
-1.1569654596578758,-5.7473016,-5.523049048259681
-1.1443739059360745,-5.7503233,-5.527526387850142
-1.1317823522142696,-5.7533417,-5.531858348916477
-1.1191907984924683,-5.7563515,-5.536048112995808
-1.1065992447706652,-5.7593455,-5.540098826425138
-1.094007691048862,-5.7623158,-5.544013600341335
-1.081416137327059,-5.7652526,-5.547795510681144
-1.068824583605256,-5.7681465,-5.55144759818118
-1.0562330298834546,-5.7709866,-5.554972868377929
-1.0436414761616515,-5.773761,-5.558374291607752
-1.0310499224398484,-5.776456,-5.56165480300688
-1.0184583687180453,-5.779057,-5.564817302511417
-1.0058668149962422,-5.7815504,-5.56786465485734
-0.9932752612744409,-5.783919,-5.570799689580494
-0.9806837075526378,-5.786145,-5.573625201016603
-0.9680921538308347,-5.788212,-5.576343948301258
-0.9555006001090316,-5.7901,-5.578958655369922
-0.9429090463872285,-5.79179,-5.581472010957934
-0.9303174926654272,-5.7932615,-5.583886668600502
-0.9177259389436223,-5.7944946,-5.586205246632707
-0.905134385221821,-5.7954693,-5.588430328189502
-0.8925428315000179,-5.7961645,-5.590564461205712
-0.8799512777782148,-5.7965603,-5.592610158416036
-0.8673597240564117,-5.7966375,-5.594569897355043
-0.8547681703346086,-5.796378,-5.596446120357173
-0.8421766166128073,-5.795765,-5.598241234556742
-0.8295850628910042,-5.7947826,-5.599957611887935
-0.8169935091692011,-5.7934184,-5.60159758908481
-0.804401955447398,-5.7916613,-5.603163467681299
-0.7918104017255949,-5.789504,-5.604657514011203
-0.7792188480037936,-5.7869415,-5.606081959208197
-0.7666272942819905,-5.7839723,-5.6074389992058284
-0.7540357405601874,-5.7805977,-5.608730794737515
-0.7414441868383843,-5.776822,-5.609959471336549
-0.7288526331165812,-5.7726526,-5.611127119336094
-0.7162610793947799,-5.768097,-5.612235793869184
-0.7036695256729768,-5.7631645,-5.613287514868726
-0.6910779719511737,-5.757862,-5.614284267067503
-0.6784864182293706,-5.752195,-5.615227999998163
-0.6658948645075675,-5.746162,-5.616120627993233
-0.6533033107857644,-5.7397547,-5.616964030185107
-0.6407117570639613,-5.732955,-5.617760050506054
-0.62812020334216,-5.7257314,-5.618510497688216
-0.6155286496203569,-5.7180414,-5.619217145263603
-0.6029370958985538,-5.7098284,-5.619881731564101
-0.5903455421767507,-5.701028,-5.620505959721468
