theta,delta_V_true,delta_V_dvnet,delta_V_lora
-2.290205294620126,-0.5279060256780872,-0.828451,-0.828451
-2.277613740898323,-0.4482776666401156,-0.7792724,-0.7792724
-2.2650221871765206,-0.36608673664857105,-0.725467,-0.725467
-2.2524306334547175,-0.2818620474390749,-0.666992,-0.666992
-2.2398390797329153,-0.19614549583758403,-0.6040395,-0.6040395
-2.227247526011112,-0.10948857722720853,-0.53707343,-0.53707343
-2.214655972289309,-0.022448837258545858,-0.4668687,-0.4668687
-2.202064418567507,0.06441371536711527,-0.3945139,-0.3945139
-2.189472864845704,0.1505402119617189,-0.32138616,-0.32138616
-2.1768813111239016,0.23537651957952851,-0.24907905,-0.24907905
-2.1642897574020985,0.3183768062768041,-0.17932063,-0.17932063
-2.1516982036802954,0.3990070529632236,-0.11383754,-0.11383754
-2.1391066499584923,0.47674848925014324,-0.054246724,-0.054246724
-2.12651509623669,0.5511009311895527,-0.0019419789,-0.0019419789
-2.113923542514887,0.621585999428965,0.04197949,0.04197949
-2.101331988793085,0.6877501970767347,0.07674998,0.07674998
-2.0887404350712817,0.7491678274751199,0.1019308,0.1019308
-2.0761488813494786,0.8054437331081623,0.11738509,0.11738509
-2.0635573276276755,0.8562158380225281,0.12322849,0.12322849
-2.0509657739058733,0.9011574774034447,0.11978358,0.11978358
-2.038374220184071,0.9399794993174158,0.10752934,0.10752934
-2.025782666462268,0.972432125099192,0.0870623,0.0870623
-2.013191112740465,0.9983065564133914,0.05906242,0.05906242
-2.000599559018662,1.0174363186510378,0.02427429,0.02427429
-1.9880080052968596,1.0296983320176547,-0.016511977,-0.016511977
-1.9754164515750565,1.0350137034216165,-0.062473357,-0.062473357
-1.9628248978532543,1.0333482340677766,-0.11276227,-0.11276227
-1.9502333441314512,1.0247126394905581,-0.16651827,-0.16651827
-1.9376417904096481,1.0091624806108204,-0.22288018,-0.22288018
-1.925050236687845,0.9867978062600754,-0.28100115,-0.28100115
-1.9124586829660428,0.9577625094720393,-0.340061,-0.340061
-1.8998671292442406,0.9222434016830905,-0.39929014,-0.39929014
-1.8872755755224375,0.8804690107981893,-0.45798236,-0.45798236
-1.8746840218006344,0.8327081108554355,-0.51551086,-0.51551086
-1.8620924680788313,0.779267992749295,-0.5713447,-0.5713447
-1.8495009143570291,0.7204924871385928,-0.62505704,-0.62505704
-1.836909360635226,0.6567597522597329,-0.67633325,-0.67633325
-1.8243178069134238,0.5884798408782946,-0.7249666,-0.7249666
-1.8117262531916207,0.5160920620329931,-0.7708579,-0.7708579
-1.7991346994698176,0.4400621545465188,-0.81400394,-0.81400394
-1.7865431457480145,0.36087929048861245,-0.85449034,-0.85449034
-1.7739515920262123,0.279052927870998,-0.89247555,-0.89247555
-1.7613600383044101,0.19510953282370322,-0.928172,-0.928172
-1.748768484582607,0.10958919234213532,-0.96183443,-0.96183443
-1.736176930860804,0.023042139398320456,-0.9937392,-0.9937392
-1.7235853771390008,-0.0639747872265569,-1.0241711,-1.0241711
-1.7109938234171977,-0.150901725610961,-1.0534008,-1.0534008
-1.6984022696953955,-0.23717939281253492,-1.0816765,-1.0816765
-1.6858107159735933,-0.32225268326253137,-1.1092052,-1.1092052
-1.6732191622517902,-0.40557424028324063,-1.1361408,-1.1361408
-1.6606276085299871,-0.4866079777494819,-1.162575,-1.162575
-1.648036054808184,-0.5648325292360427,-1.1885275,-1.1885275
-1.6354445010863818,-0.6397446024593914,-1.2139452,-1.2139452
-1.6228529473645787,-0.7108622174314208,-1.2387011,-1.2387011
-1.6102613936427765,-0.7777278074910344,-1.2625945,-1.2625945
-1.5976698399209734,-0.839911163261893,-1.2853653,-1.2853653
-1.5850782861991703,-0.8970122005948514,-1.3066983,-1.3066983
-1.5724867324773673,-0.9486635346864836,-1.3262455,-1.3262455
-1.559895178755565,-0.9945328438118495,-1.3436322,-1.3436322
-1.5473036250337628,-1.0343250074634578,-1.3584862,-1.3584862
-1.5347120713119597,-1.0677840051396885,-1.3704436,-1.3704436
-1.5221205175901567,-1.0946945635660361,-1.3791709,-1.3791709
-1.5095289638683536,-1.1148835417510343,-1.3843749,-1.3843749
-1.4969374101465514,-1.1282210449654742,-1.3858187,-1.3858187
-1.4843458564247483,-1.1346212604776535,-1.3833172,-1.3833172
-1.471754302702946,-1.1340430096675738,-1.376751,-1.376751
-1.459162748981143,-1.1264900129678241,-1.3660583,-1.3660583
-1.4465711952593399,-1.1120108659265318,-1.3512397,-1.3512397
-1.4339796415375368,-1.090698726546388,-1.3323474,-1.3323474
-1.4213880878157354,-1.0626907159114005,-1.3094819,-1.3094819
-1.4087965340939324,-1.0281670359576753,-1.2827864,-1.2827864
-1.3962049803721293,-0.9873498100645065,-1.2524383,-1.2524383
-1.3836134266503262,-0.9405016539252612,-1.218643,-1.218643
-1.371021872928523,-0.8879239858930563,-1.1816313,-1.1816313
-1.35843031920672,-0.8299550876723382,-1.1416476,-1.1416476
-1.3458387654849169,-0.7669679278337747,-1.0989549,-1.0989549
-1.3332472117631156,-0.6993677621558434,-1.0538237,-1.0538237
-1.3206556580413125,-0.6275895262323304,-1.006532,-1.006532
-1.3080641043195094,-0.5520950371216866,-0.9573634,-0.9573634
-1.2954725505977063,-0.47337002204249157,-0.90660936,-0.90660936
-1.2828809968759032,-0.3919209932323607,-0.85456306,-0.85456306
-1.2702894431541019,-0.3082719890772324,-0.80152255,-0.80152255
-1.2576978894322988,-0.22296120247836623,-0.7477849,-0.7477849
-1.2451063357104957,-0.13653751815010995,-0.69365865,-0.69365865
-1.2325147819886926,-0.049556981127044056,-0.63944703,-0.63944703
-1.2199232282668895,0.03742078079790926,-0.58546335,-0.58546335
-1.2073316745450882,0.12383615768663878,-0.5320199,-0.5320199
-1.194740120823285,0.20913315795417695,-0.4794305,-0.4794305
-1.182148567101482,0.29276298558664143,-0.42801315,-0.42801315
-1.1695570133796789,0.3741875710633991,-0.37808686,-0.37808686
-1.1569654596578758,0.4528830332655295,-0.3299678,-0.3299678
-1.1443739059360745,0.5283430500969246,-0.28396827,-0.28396827
-1.1317823522142696,0.6000821161317069,-0.24039537,-0.24039537
-1.1191907984924683,0.6676386663282142,-0.19954568,-0.19954568
-1.1065992447706652,0.7305780457121803,-0.16170627,-0.16170627
