theta,V_unperturbed
-0.3674158017588076,-10.553716
-0.3548368521948846,-10.595596
-0.34225790263096156,-10.636016
-0.3296789530670381,-10.6749735
-0.31710000350311507,-10.712463
-0.30452105393919204,-10.748483
-0.291942104375269,-10.7830305
-0.279363154811346,-10.816104
-0.26678420524742297,-10.847699
-0.2542052556834995,-10.877814
-0.24162630611957647,-10.906446
-0.22904735655565345,-10.933595
-0.21646840699173042,-10.95926
-0.2038894574278074,-10.983436
-0.19131050786388437,-11.006124
-0.17873155829996135,-11.027322
-0.16615260873603788,-11.04703
-0.15357365917211485,-11.065249
-0.14099470960819183,-11.081977
-0.1284157600442688,-11.097215
-0.11583681048034578,-11.110963
-0.10325786091642275,-11.123221
-0.09067891135249928,-11.133992
-0.07809996178857626,-11.143276
-0.06552101222465323,-11.151076
-0.052942062660730205,-11.157392
-0.04036311309680718,-11.162227
-0.027784163532884154,-11.165584
-0.015205213968961129,-11.167463
-0.0026262644050381034,-11.1678705
0.009952685158884922,-11.166806
0.022531634722807947,-11.164274
0.03511058428673186,-11.160278
0.047689533850654886,-11.154821
0.06026848341457791,-11.147906
0.07284743297850094,-11.139537
0.08542638254242396,-11.129716
0.09800533210634699,-11.118446
0.11058428167027001,-11.105735
0.12316323123419304,-11.09158
0.13574218079811606,-11.07599
0.1483211303620391,-11.058965
0.16090007992596211,-11.04051
0.17347902948988514,-11.020629
0.18605797905380816,-10.999325
0.19863692861773208,-10.976602
0.2112158781816551,-10.952462
0.22379482774557813,-10.926911
0.23637377730950115,-10.899952
0.24895272687342418,-10.87159
0.2615316764373472,-10.841826
0.27411062600127023,-10.810666
0.28668957556519326,-10.778115
0.2992685251291163,-10.744177
0.3118474746930393,-10.708857
0.32442642425696233,-10.672157
0.33700537382088536,-10.634085
0.34958432338480927,-10.594644
0.3621632729487323,-10.55384
0.3747422225126553,-10.511676
0.38732117207657835,-10.468163
0.39990012164050137,-10.423301
0.4124790712044244,-10.377099
0.4250580207683474,-10.329564
0.43763697033227045,-10.280698
0.4502159198961935,-10.23051
0.4627948694601165,-10.179007
0.4753738190240395,-10.126194
0.48795276858796255,-10.072079
0.5005317181518856,-10.016666
0.5131106677158095,-9.959964
0.5256896172797325,-9.90198
0.5382685668436555,-9.842719
0.5508475164075786,-9.782186
0.5634264659715016,-9.720391
0.5760054155354246,-9.657336
0.5885843650993476,-9.593032
0.6011633146632707,-9.527481
0.6137422642271937,-9.4606905
0.6263212137911167,-9.392668
0.6389001633550397,-9.323414
0.6514791129189628,-9.252938
0.6640580624828858,-9.181243
0.6766370120468097,-9.108333
0.6892159616107327,-9.034214
0.7017949111746558,-8.958892
0.7143738607385788,-8.882367
0.7269528103025018,-8.804648
0.7395317598664248,-8.725736
0.7521107094303479,-8.645635
0.7646896589942709,-8.564347
0.7772686085581939,-8.481879
0.7898475581221169,-8.398234
0.80242650768604,-8.3134165
0.815005457249963,-8.2274275
0.827584406813886,-8.140273
0.8401633563778099,-8.051958
0.852742305941733,-7.962484
0.865321255505656,-7.871859
0.877900205069579,-7.7800846
0.890479154633502,-7.687168
0.903058104197425,-7.5931153
0.9156370537613481,-7.497931
0.9282160033252711,-7.4016247
0.9407949528891941,-7.3041997
0.9533739024531172,-7.205666
0.9659528520170402,-7.1060305
0.9785318015809632,-7.005303
0.9911107511448862,-6.903493
1.0036897007088101,-6.800609
1.0162686502727332,-6.6966634
1.0288475998366562,-6.5916667
